t_ns,T_centre_K,T_max_K
0.000000000000000000e+00,3.000000000000000000e+02,3.000000000000000000e+02
1.467505241090146786e-03,3.302675697771729233e+02,5.444371911430511091e+02
2.935010482180293572e-03,3.556530794772404533e+02,5.742080745433934226e+02
4.402515723270440141e-03,3.779863466569041179e+02,5.808868188805561203e+02
5.870020964360587144e-03,3.980564861670675327e+02,5.836691094255381813e+02
7.337526205450733280e-03,4.163560107119401437e+02,5.853058128464490437e+02
8.805031446540880283e-03,4.332226542452229978e+02,5.896332658774466609e+02
1.027253668763102729e-02,4.489004790546393338e+02,5.947806392019512032e+02
1.174004192872117429e-02,4.635726034359963705e+02,6.001380966479565586e+02
1.320754716981132129e-02,4.773804895676104820e+02,6.046402775150717162e+02
1.467505241090146656e-02,4.904360259280339847e+02,6.085017061812621932e+02
1.614255765199161530e-02,5.028294552270704116e+02,6.118681025461496574e+02
1.761006289308176057e-02,5.146347727605966611e+02,6.156055522158263784e+02
1.907756813417190930e-02,5.259135157593950680e+02,6.193112882150168161e+02
2.054507337526205457e-02,5.367174920784100323e+02,6.226745774721761109e+02
2.201257861635219984e-02,5.470907886178216586e+02,6.257491072170851112e+02
2.348008385744234858e-02,5.570712781324167509e+02,6.285773438806096465e+02
2.494758909853249385e-02,5.666917689862390262e+02,6.311933845523968785e+02
2.641509433962264258e-02,5.759808958050800811e+02,6.336249700843299024e+02
2.788259958071278785e-02,5.849638188427398973e+02,6.358949362917966255e+02
2.935010482180293312e-02,5.936627799169372111e+02,6.380222795922037449e+02
3.081761006289308186e-02,6.020975492700889617e+02,6.400229525187014588e+02
3.228511530398323059e-02,6.102857884058541913e+02,6.419104664382635974e+02
3.375262054507337239e-02,6.182433474306089920e+02,6.436963543508682051e+02
3.522012578616352113e-02,6.259845107865668297e+02,6.453905306005037801e+02
3.668763102725366987e-02,6.335222019112634371e+02,6.470015735842526965e+02
3.815513626834381861e-02,6.408681549058170503e+02,6.485369502185286592e+02
3.962264150943396041e-02,6.480330594781731861e+02,6.500031958410827428e+02
4.109014675052410914e-02,6.550266840669709154e+02,6.563061200683258676e+02
4.255765199161425788e-02,6.618579810214511099e+02,6.625885424949508433e+02
4.402515723270439968e-02,6.685351769248815117e+02,6.687226191156046298e+02
4.549266247379454842e-02,6.750658505406154291e+02,6.750658505406154291e+02
4.696016771488469715e-02,6.814570003860220595e+02,6.814570003860220595e+02
4.842767295597484589e-02,6.877151035673196020e+02,6.877151035673196020e+02
4.989517819706498769e-02,6.938461672137075311e+02,6.938461672137075311e+02
5.136268343815513643e-02,6.998557736142410022e+02,6.998557736142410022e+02
5.283018867924528517e-02,7.057491199722530837e+02,7.057491199722530837e+02
5.429769392033542696e-02,7.115310535396891964e+02,7.115310535396891964e+02
5.576519916142557570e-02,7.172061027697872078e+02,7.172061027697872078e+02
5.723270440251572444e-02,7.227785050252156225e+02,7.227785050252156225e+02
5.870020964360586624e-02,7.282522312954997687e+02,7.282522312954997687e+02
6.016771488469601498e-02,7.336310083087722660e+02,7.336310083087722660e+02
6.163522012578616371e-02,7.389183383657895092e+02,7.389183383657895092e+02
6.310272536687630551e-02,7.441175171765670484e+02,7.443183904356659468e+02
6.457023060796646119e-02,7.492316499401453029e+02,7.496921450260831534e+02
6.603773584905660299e-02,7.542636658745202567e+02,7.549809034510163883e+02
6.750524109014674479e-02,7.592163313755327181e+02,7.601874056393588717e+02
6.897274633123688659e-02,7.640922619596042296e+02,7.653142461370448473e+02
7.044025157232704226e-02,7.688939331248991493e+02,7.703638843639055267e+02
7.190775681341718406e-02,7.736236902481916786e+02,7.753386539844085519e+02
7.337526205450733974e-02,7.782837576199201521e+02,7.802407714833552745e+02
7.484276729559748154e-02,7.828762467072278923e+02,7.850723440266790476e+02
7.631027253668763721e-02,7.874031637238854273e+02,7.898353766780560363e+02
7.777777777777776513e-02,7.918664165765803773e+02,7.945317790338772284e+02
7.924528301886792081e-02,7.962678212489308862e+02,7.991633713320451307e+02
8.071278825995806261e-02,8.006091076775283000e+02,8.038071499511299862e+02
8.218029350104821829e-02,8.048919251681842297e+02,8.084940260076623417e+02
8.364779874213836008e-02,8.091178473952205650e+02,8.131183617667334147e+02
8.511530398322851576e-02,8.132883770219729058e+02,8.176816650066721195e+02
8.658280922431865756e-02,8.174049499765976634e+02,8.221853816912087041e+02
8.805031446540879936e-02,8.214689394136851206e+02,8.266308995359302116e+02
8.951781970649894116e-02,8.254816593890315062e+02,8.310195513198352728e+02
9.098532494758909683e-02,8.294443682721419009e+02,8.353526179631920741e+02
9.245283018867923863e-02,8.333582719185800443e+02,8.396313313908996179e+02
9.392033542976939431e-02,8.372245266221092379e+02,8.438568771987639821e+02
9.538784067085953611e-02,8.410442418646379110e+02,8.480303971385000068e+02
9.685534591194969178e-02,8.448184828802717448e+02,8.521529914358324049e+02
9.832285115303981970e-02,8.485482730482433453e+02,8.562257209547794901e+02
9.979035639412997538e-02,8.522345961281314430e+02,8.602496092200457269e+02
1.012578616352201172e-01,8.558783983495624170e+02,8.642256443083989552e+02
1.027253668763102729e-01,8.594805903674932779e+02,8.681547806189710172e+02
1.041928721174004147e-01,8.630420490931998074e+02,8.720379405315638905e+02
1.056603773584905703e-01,8.665636194102108902e+02,8.758760159612768348e+02
1.071278825995807121e-01,8.700461157836390385e+02,8.796698698170708894e+02
1.085953878406708539e-01,8.734903237706402024e+02,8.834203373712533676e+02
1.100628930817609957e-01,8.768970014390959022e+02,8.871282275462946245e+02
1.115303983228511514e-01,8.802668807010198861e+02,8.907943241248634649e+02
1.129979035639412932e-01,8.836006685666685598e+02,8.944193868884966605e+02
1.144654088050314489e-01,8.868990483248516057e+02,8.980041526898836537e+02
1.159329140461215907e-01,8.901626806545033332e+02,9.015493364633556439e+02
