Energy/keV,Reflected/counts,Transmitted/counts
1.00E+00,3,1
2.00E+00,2,6
3.00E+00,10,3
4.00E+00,9,6
5.00E+00,8,9
6.00E+00,15,9
7.00E+00,16,15
8.00E+00,18,15
9.00E+00,26,25
1.00E+01,32,18
1.10E+01,27,21
1.20E+01,30,38
1.30E+01,35,31
1.40E+01,39,39
1.50E+01,39,29
1.60E+01,37,44
1.70E+01,42,34
1.80E+01,53,47
1.90E+01,55,64
2.00E+01,50,64
2.10E+01,68,77
2.20E+01,55,83
2.30E+01,62,89
2.40E+01,78,81
2.50E+01,79,92
2.60E+01,79,141
2.70E+01,93,135
2.80E+01,116,149
2.90E+01,114,203
3.00E+01,151,186
3.10E+01,154,213
3.20E+01,192,258
3.30E+01,203,311
3.40E+01,233,388
3.50E+01,258,460
3.60E+01,362,584
3.70E+01,402,725
3.80E+01,495,947
3.90E+01,533,1205
4.00E+01,676,1255
4.10E+01,732,1315
4.20E+01,747,1427
4.30E+01,706,1553
4.40E+01,656,1616
4.50E+01,766,1657
4.60E+01,802,1756
4.70E+01,837,1958
4.80E+01,805,2091
4.90E+01,897,2256
5.00E+01,955,2453
5.10E+01,986,2688
5.20E+01,945,2969
5.30E+01,1166,3290
5.40E+01,1176,3736
5.50E+01,1266,4079
5.60E+01,1442,4620
5.70E+01,1496,5186
5.80E+01,1735,5858
5.90E+01,1932,6915
6.00E+01,2173,7936
6.10E+01,2433,9283
6.20E+01,2752,10918
6.30E+01,3221,12989
6.40E+01,3742,16160
6.50E+01,4477,18784
6.60E+01,5001,21478
6.70E+01,5545,25769
6.80E+01,6776,29111
6.90E+01,8265,36279
7.00E+01,10375,48555
7.10E+01,13928,66780
7.20E+01,19688,94683
7.30E+01,27210,141226
7.40E+01,40407,222147
7.50E+01,59802,366231
7.60E+01,90417,487831
7.70E+01,137640,615075
7.80E+01,210055,1016371
7.90E+01,328087,1836502
8.00E+01,473309,2277985
