T/s,I_EBIC/A,I_prim/A,I_P/nA,I_se/nA
6.5,3.63224E-10,1.24456E-09,1.24456,0.363223672
6.516666667,3.66063E-10,1.22573E-09,1.22573,0.366063317
6.533333333,3.68903E-10,1.22954E-09,1.22954,0.368902963
6.55,3.71743E-10,1.2281E-09,1.2281,0.371742608
6.566666667,3.74582E-10,1.27492E-09,1.27492,0.374582253
6.583333333,3.77422E-10,1.29655E-09,1.29655,0.377421899
6.6,3.80262E-10,1.31791E-09,1.31791,0.380261544
6.616666667,3.83101E-10,1.30811E-09,1.30811,0.38310119
6.633333333,3.85941E-10,1.32408E-09,1.32408,0.385940835
6.65,3.8878E-10,1.29564E-09,1.29564,0.38878048
6.666666667,3.9162E-10,1.28702E-09,1.28702,0.391620126
6.683333333,3.9446E-10,1.34129E-09,1.34129,0.394459771
6.7,3.97299E-10,1.3275E-09,1.3275,0.397299416
6.716666667,4.00139E-10,1.34413E-09,1.34413,0.400139062
6.733333333,4.02979E-10,1.39175E-09,1.39175,0.402978707
6.75,4.05818E-10,1.35399E-09,1.35399,0.405818353
6.766666667,4.08658E-10,1.3351E-09,1.3351,0.408657998
6.783333333,4.11498E-10,1.34006E-09,1.34006,0.411497643
6.8,4.14337E-10,1.3638E-09,1.3638,0.414337289
6.816666667,4.17177E-10,1.3667E-09,1.3667,0.417176934
6.833333333,4.20017E-10,1.38982E-09,1.38982,0.420016579
6.85,4.22856E-10,1.42932E-09,1.42932,0.422856225
6.866666667,4.25696E-10,1.45367E-09,1.45367,0.42569587
6.883333333,4.28536E-10,1.48065E-09,1.48065,0.428535515
6.9,4.31375E-10,1.45725E-09,1.45725,0.431375161
6.916666667,4.34215E-10,1.42114E-09,1.42114,0.434214806
6.933333333,4.37054E-10,1.51692E-09,1.51692,0.437054452
6.95,4.39894E-10,1.43785E-09,1.43785,0.439894097
6.966666667,4.42734E-10,1.44217E-09,1.44217,0.442733742
6.983333333,4.45573E-10,1.50461E-09,1.50461,0.445573388
7,4.48413E-10,1.47072E-09,1.47072,0.448413033
7.016666667,4.51253E-10,1.53802E-09,1.53802,0.451252678
7.033333333,4.54092E-10,1.51714E-09,1.51714,0.454092324
7.05,4.56932E-10,1.58272E-09,1.58272,0.456931969
7.066666667,4.60329E-10,1.59696E-09,1.59696,0.460329136
7.083333333,4.64227E-10,1.53021E-09,1.53021,0.464227319
7.1,4.68126E-10,1.58717E-09,1.58717,0.468125502
7.116666667,4.72024E-10,1.59407E-09,1.59407,0.472023685
7.133333333,4.75922E-10,1.60109E-09,1.60109,0.475921868
7.15,4.7982E-10,1.57202E-09,1.57202,0.479820051
7.166666667,4.83718E-10,1.64661E-09,1.64661,0.483718234
7.183333333,4.87616E-10,1.69659E-09,1.69659,0.487616417
7.2,4.91515E-10,1.69323E-09,1.69323,0.4915146
7.216666667,4.95413E-10,1.70656E-09,1.70656,0.495412783
7.233333333,4.99311E-10,1.6625E-09,1.6625,0.499310966
7.25,5.03209E-10,1.65932E-09,1.65932,0.503209149
7.266666667,5.07107E-10,1.72126E-09,1.72126,0.507107332
7.283333333,5.11006E-10,1.77365E-09,1.77365,0.511005515
7.3,5.14904E-10,1.72142E-09,1.72142,0.514903698
7.316666667,5.18802E-10,1.75073E-09,1.75073,0.518801881
7.333333333,5.227E-10,1.76036E-09,1.76036,0.522700063
7.35,5.26598E-10,1.82081E-09,1.82081,0.526598246
7.366666667,5.30496E-10,1.82305E-09,1.82305,0.530496429
7.383333333,5.34395E-10,1.84861E-09,1.84861,0.534394612
7.4,5.38293E-10,1.85631E-09,1.85631,0.538292795
7.416666667,5.42191E-10,1.87348E-09,1.87348,0.542190978
7.433333333,5.46089E-10,1.81616E-09,1.81616,0.546089161
7.45,5.49987E-10,1.9098E-09,1.9098,0.549987344
7.466666667,5.53886E-10,1.81367E-09,1.81367,0.553885527
7.483333333,5.57784E-10,1.91156E-09,1.91156,0.55778371
7.5,5.61682E-10,1.84226E-09,1.84226,0.561681893
7.516666667,5.6558E-10,1.95406E-09,1.95406,0.565580076
7.533333333,5.69478E-10,1.94958E-09,1.94958,0.569478259
7.55,5.73376E-10,1.90477E-09,1.90477,0.573376442
7.566666667,5.77275E-10,1.92558E-09,1.92558,0.577274625
7.583333333,5.81173E-10,1.97557E-09,1.97557,0.581172808
7.6,5.85071E-10,1.96606E-09,1.96606,0.585070991
7.616666667,5.88969E-10,2.02146E-09,2.02146,0.588969174
7.633333333,5.92867E-10,1.97632E-09,1.97632,0.592867356
7.65,5.96766E-10,2.07152E-09,2.07152,0.596765539
7.666666667,6.00664E-10,1.97378E-09,1.97378,0.600663722
7.683333333,6.04562E-10,1.98944E-09,1.98944,0.604561905
7.7,6.0846E-10,2.03843E-09,2.03843,0.608460088
7.716666667,6.12358E-10,2.11865E-09,2.11865,0.612358271
7.733333333,6.16256E-10,2.06591E-09,2.06591,0.616256454
7.75,6.20155E-10,2.0756E-09,2.0756,0.620154637
7.766666667,6.24053E-10,2.03722E-09,2.03722,0.62405282
7.783333333,6.27951E-10,2.13498E-09,2.13498,0.627951003
7.8,6.31849E-10,2.09568E-09,2.09568,0.631849186
7.816666667,6.35747E-10,2.12044E-09,2.12044,0.635747369
7.833333333,6.39646E-10,2.0904E-09,2.0904,0.639645552
7.85,6.43544E-10,2.22104E-09,2.22104,0.643543735
7.866666667,6.47442E-10,2.11959E-09,2.11959,0.647441918
7.883333333,6.5134E-10,2.13796E-09,2.13796,0.651340101
7.9,6.55238E-10,2.19269E-09,2.19269,0.655238284
7.916666667,6.59136E-10,2.24417E-09,2.24417,0.659136467
7.933333333,6.63035E-10,2.28702E-09,2.28702,0.663034649
7.95,6.66933E-10,2.22538E-09,2.22538,0.666932832
7.966666667,6.70831E-10,2.25391E-09,2.25391,0.670831015
7.983333333,6.74729E-10,2.2343E-09,2.2343,0.674729198
8,6.78627E-10,2.22127E-09,2.22127,0.678627381
8.016666667,6.82526E-10,2.26857E-09,2.26857,0.682525564
8.033333333,6.86424E-10,2.35573E-09,2.35573,0.686423747
8.05,6.90322E-10,2.26688E-09,2.26688,0.69032193
8.066666667,6.9422E-10,2.32515E-09,2.32515,0.694220113
8.083333333,7.04635E-10,2.32769E-09,2.32769,0.704634545
8.1,7.15663E-10,2.42999E-09,2.42999,0.71566339
8.116666667,7.26692E-10,2.49074E-09,2.49074,0.726692235
8.133333333,7.37721E-10,2.54134E-09,2.54134,0.737721081
8.15,7.4875E-10,2.49407E-09,2.49407,0.748749926
8.166666667,7.59779E-10,2.63979E-09,2.63979,0.759778771
8.183333333,7.70808E-10,2.54405E-09,2.54405,0.770807617
8.2,7.81836E-10,2.62457E-09,2.62457,0.781836462
8.216666667,7.92865E-10,2.66752E-09,2.66752,0.792865307
8.233333333,8.03894E-10,2.70498E-09,2.70498,0.803894153
8.25,8.14923E-10,2.73294E-09,2.73294,0.814922998
8.266666667,8.25952E-10,2.76637E-09,2.76637,0.825951843
8.283333333,8.36981E-10,2.86035E-09,2.86035,0.836980688
8.3,8.4801E-10,2.85664E-09,2.85664,0.848009534
8.316666667,8.59038E-10,2.9272E-09,2.9272,0.859038379
8.333333333,8.70067E-10,2.84267E-09,2.84267,0.870067224
8.35,8.81096E-10,3.02269E-09,3.02269,0.88109607
8.366666667,8.92125E-10,2.92963E-09,2.92963,0.892124915
8.383333333,9.03154E-10,3.00036E-09,3.00036,0.90315376
8.4,9.14183E-10,3.16043E-09,3.16043,0.914182606
8.416666667,9.25211E-10,3.14027E-09,3.14027,0.925211451
8.433333333,9.3624E-10,3.08172E-09,3.08172,0.936240296
8.45,9.47269E-10,3.14546E-09,3.14546,0.947269141
8.466666667,9.58298E-10,3.16025E-09,3.16025,0.958297987
8.483333333,9.69327E-10,3.20707E-09,3.20707,0.969326832
8.5,9.80356E-10,3.37093E-09,3.37093,0.980355677
8.516666667,9.91385E-10,3.38287E-09,3.38287,0.991384523
8.533333333,1.00241E-09,3.48875E-09,3.48875,1.002413368
8.55,1.01344E-09,3.34452E-09,3.34452,1.013442213
8.566666667,1.02447E-09,3.46191E-09,3.46191,1.024471059
8.583333333,1.0355E-09,3.41434E-09,3.41434,1.035499904
8.6,1.04653E-09,3.45149E-09,3.45149,1.046528749
8.616666667,1.05756E-09,3.45511E-09,3.45511,1.057557594
8.633333333,1.06859E-09,3.58475E-09,3.58475,1.06858644
8.65,1.07962E-09,3.59475E-09,3.59475,1.079615285
8.666666667,1.09064E-09,3.67154E-09,3.67154,1.09064413
8.683333333,1.10167E-09,3.78985E-09,3.78985,1.101672976
8.7,1.1127E-09,3.66039E-09,3.66039,1.112701821
8.716666667,1.12373E-09,3.80324E-09,3.80324,1.123730666
