Current Density,Stage,TEM Mode,Material
0.902070598,Surface smoothing,HRTEM,Au
0.357657383,Surface smoothing,HRTEM,Au
1.017984806,Surface smoothing,HRTEM,Au
0.898379132,Surface smoothing,HRTEM,Au
0.781244632,Surface smoothing,HRTEM,Au
1.154635326,Surface smoothing,HRTEM,Au
0.545832897,Surface smoothing,HRTEM,Au
4.178441063,Surface smoothing,HRTEM,Au
1.471577507,Surface smoothing,HRTEM,Au
10.33076787,Surface smoothing,HRTEM,Au
0.500708183,Surface smoothing,HRTEM,Au
0.68239951,Surface smoothing,HRTEM,Au
0.529090883,Surface smoothing,HRTEM,Au
2.564942379,Surface smoothing,HRTEM,Au
0.118953664,Surface smoothing,HRTEM,Au
0.354192538,Surface smoothing,HRTEM,Au
0.825416798,Surface smoothing,HRTEM,Au
0.498515008,Surface smoothing,HRTEM,Au
0.29590403,Surface smoothing,HRTEM,Au
0.65984106,Surface smoothing,HRTEM,Au
0.604196539,Surface smoothing,HRTEM,Au
0.300068979,Surface smoothing,HRTEM,Au
1.420651884,Surface smoothing,HRTEM,Au
2.137815587,Surface smoothing,HRTEM,Au
0.486071242,Surface smoothing,HRTEM,Au
2.067228888,Surface smoothing,HRTEM,Au
1.783745674,Surface smoothing,HRTEM,Au
1.483745674,Surface smoothing,HRTEM,Au
1.583745674,Surface smoothing,HRTEM,Au
2.436540224,Surface smoothing,HRTEM,Au
2.578570899,Surface smoothing,HRTEM,Au
2.601258724,Surface smoothing,HRTEM,Au
2.522463186,Surface smoothing,HRTEM,Au
3.925468292,Surface smoothing,HRTEM,Au
2.90161815,Surface smoothing,HRTEM,Au
4.764105724,Surface smoothing,HRTEM,Au
5.71434438,Surface smoothing,HRTEM,Au
4.841459454,Surface smoothing,HRTEM,Au
1.904070188,Surface smoothing,HRTEM,Au
1.553941351,Surface smoothing,HRTEM,Au
0.904620297,Surface smoothing,HRTEM,Au
1.727376586,Surface smoothing,HRTEM,Au
0.795019858,Surface smoothing,HRTEM,Au
1.075041808,Surface smoothing,HRTEM,Au
2.086152841,Surface smoothing,HRTEM,Au
1.83099722,Surface smoothing,HRTEM,Au
1.451579373,Surface smoothing,HRTEM,Au
1.932241164,Surface smoothing,HRTEM,Au
1.485256138,Surface smoothing,HRTEM,Au
2.235609805,Surface smoothing,HRTEM,Au
0.529090883,Surface smoothing,HRTEM,Au
1.765681292,Surface smoothing,HRTEM,Au
0.74342515,Surface smoothing,HRTEM,Au
0.354192538,Surface smoothing,HRTEM,Au
0.118953664,Surface smoothing,HRTEM,Au
2.97,NPs synthesis,HRTEM,Au
3.737024221,NPs synthesis,HRTEM,Au
6.153846154,NPs synthesis,HRTEM,Au
3.723183391,NPs synthesis,HRTEM,Au
2.96,NPs synthesis,HRTEM,Au
1.102222222,NPs synthesis,HRTEM,Au
1.887517147,NPs synthesis,HRTEM,Au
0.7375,NPs synthesis,HRTEM,Au
2.34,NPs synthesis,HRTEM,Au
2.4,NPs synthesis,HRTEM,Au
9.76,NPs synthesis,HRTEM,Au
3.84,NPs synthesis,HRTEM,Au
1.76,NPs synthesis,HRTEM,Au
0.96,NPs synthesis,HRTEM,Au
0.293467117,Surface smoothing,LTEM,Au
0.266623918,Surface smoothing,LTEM,Au
0.352743561,Surface smoothing,LTEM,Au
0.469444444,Surface smoothing,LTEM,Au
0.764795144,Surface smoothing,LTEM,Au
0.47679112,Surface smoothing,LTEM,Au
0.153608229,Surface smoothing,LTEM,Au
0.470940011,Surface smoothing,LTEM,Au
0.450085396,Surface smoothing,LTEM,Au
2.380718244,Surface smoothing,LTEM,Au
0.27203631,Surface smoothing,LTEM,Au
0.111724791,Surface smoothing,LTEM,Au
0.161356784,Surface smoothing,LTEM,Au
0.135391716,Surface smoothing,LTEM,Au
0.129609188,Surface smoothing,LTEM,Au
0.129762368,Surface smoothing,LTEM,Au
0.110907805,Surface smoothing,LTEM,Au
0.293467117,Surface smoothing,LTEM,Au
0.266623918,Surface smoothing,LTEM,Au
0.352743561,Surface smoothing,LTEM,Au
0.469444444,Surface smoothing,LTEM,Au
0.764795144,Surface smoothing,LTEM,Au
0.47679112,Surface smoothing,LTEM,Au
0.153608229,Surface smoothing,LTEM,Au
0.470940011,Surface smoothing,LTEM,Au
0.450085396,Surface smoothing,LTEM,Au
0.515502158,Surface smoothing,LTEM,Au
0.211591059,Surface smoothing,LTEM,Au
0.302022102,Surface smoothing,LTEM,Au
0.203833915,Surface smoothing,LTEM,Au
0.151426331,Surface smoothing,LTEM,Au
0.129980853,Surface smoothing,LTEM,Au
0.155129907,Surface smoothing,LTEM,Au
0.163214148,Surface smoothing,LTEM,Au
2.089646226,NPs synthesis,HRTEM,Au
2.341651776,NPs synthesis,HRTEM,Au
2.460194731,NPs synthesis,HRTEM,Au
2.001126443,NPs synthesis,HRTEM,Au
1.794577847,NPs synthesis,LTEM,Au
0.719205298,NPs synthesis,LTEM,Au
0.609491739,NPs synthesis,LTEM,Au
0.55227652,NPs synthesis,LTEM,Au
0.644462577,NPs synthesis,LTEM,Au
0.713402993,NPs synthesis,LTEM,Au
0.982972224,NPs synthesis,LTEM,Au
0.431959429,NPs synthesis,LTEM,Au
10.41309609,NPs synthesis,HRTEM,Au
3.028642718,NPs synthesis,HRTEM,Au
2.385650708,NPs synthesis,HRTEM,Au
1.928438435,NPs synthesis,HRTEM,Au
2.093763151,NPs synthesis,HRTEM,Au
1.367241085,NPs synthesis,HRTEM,Au
1.765681292,NPs synthesis,HRTEM,Au
0.74342515,NPs synthesis,HRTEM,Au
0.837642853,NPs synthesis,HRTEM,Au
1.736368449,NPs synthesis,HRTEM,Au
0.725693401,NPs synthesis,HRTEM,Au
0.949962056,NPs synthesis,HRTEM,Au
1.330352348,NPs synthesis,HRTEM,Au
0.677799607,NPs synthesis,HRTEM,Au
0.607263378,NPs synthesis,HRTEM,Au
2.052096182,NPs synthesis,HRTEM,Au
2.585186413,NPs synthesis,HRTEM,Au
1.234034167,NPs synthesis,HRTEM,Au
11.22352,NPs synthesis,HRTEM,Au
6.66352,NPs synthesis,HRTEM,Au
17.35505116,NPs synthesis,HRTEM,Au
10.99128812,NPs synthesis,HRTEM,Au
