Energy/keV,SE/counts,Energy_BSE/keV,Primary/counts,Primary100
3.00E-01,1.38145,1,0,0
9.00E-01,1.52175,2,0,0
1.50E+00,1.59411,3,0,0
2.10E+00,1.06231,4,0,0
2.70E+00,0.78558,5,0.00002,0.002
3.30E+00,0.71027,6,0.00001,0.001
3.90E+00,0.66582,7,0,0
4.50E+00,0.63689,8,0,0
5.10E+00,0.61145,9,0,0
5.70E+00,0.59185,10,0.00001,0.001
6.30E+00,0.57849,11,0.00002,0.002
6.90E+00,0.56354,12,0.00003,0.003
7.50E+00,0.52648,13,0.00002,0.002
8.10E+00,0.50485,14,0.00002,0.002
8.70E+00,0.48739,15,0.00001,0.001
9.30E+00,0.46286,16,0.00002,0.002
9.90E+00,0.43762,17,0.00001,0.001
1.05E+01,0.42982,18,0.00002,0.002
1.11E+01,0.40101,19,0.00002,0.002
1.17E+01,0.38793,20,0.00004,0.004
1.23E+01,0.36907,21,0.00001,0.001
1.29E+01,0.35859,22,0.00002,0.002
1.35E+01,0.35146,23,0.00002,0.002
1.41E+01,0.33701,24,0.00003,0.003
1.47E+01,0.32575,25,0.00003,0.003
1.53E+01,0.31903,26,0.00004,0.004
1.59E+01,0.31038,27,0.00006,0.006
1.65E+01,0.29987,28,0.00003,0.003
1.71E+01,0.28895,29,0.00004,0.004
1.77E+01,0.27949,30,0.00005,0.005
1.83E+01,0.26761,31,0.00008,0.008
1.89E+01,0.26105,32,0.00007,0.007
1.95E+01,0.25282,33,0.00002,0.002
2.01E+01,0.24373,34,0.00006,0.006
2.07E+01,0.23563,35,0.00004,0.004
2.13E+01,0.23091,36,0.00003,0.003
2.19E+01,0.22317,37,0.00007,0.007
2.25E+01,0.21312,38,0.00003,0.003
2.31E+01,0.20673,39,0.00005,0.005
2.37E+01,0.20365,40,0.00005,0.005
2.43E+01,0.19519,41,0.00004,0.004
2.49E+01,0.19099,42,0.00006,0.006
2.55E+01,0.18236,43,0.00002,0.002
2.61E+01,0.17755,44,0.00003,0.003
2.67E+01,0.17379,45,0.00008,0.008
2.73E+01,0.16793,46,0.0001,0.01
2.79E+01,0.15975,47,0.00007,0.007
2.85E+01,0.15305,48,0.00005,0.005
2.91E+01,0.1486,49,0.00006,0.006
2.97E+01,0.14516,50,0.00004,0.004
3.03E+01,0.13942,51,0.00002,0.002
3.09E+01,0.13583,52,0.00007,0.007
3.15E+01,0.1318,53,0.00004,0.004
3.21E+01,0.13024,54,0.00005,0.005
3.27E+01,0.12504,55,0.0001,0.01
3.33E+01,0.11907,56,0.00007,0.007
3.39E+01,0.11593,57,0.00004,0.004
3.45E+01,0.11379,58,0.00005,0.005
3.51E+01,0.1072,59,0.00007,0.007
3.57E+01,0.10695,60,0.00003,0.003
3.63E+01,0.10272,61,0.00009,0.009
3.69E+01,0.10188,62,0.00013,0.013
3.75E+01,0.0986,63,0.00009,0.009
3.81E+01,0.095,64,0.00008,0.008
3.87E+01,0.09188,65,0.0001,0.01
3.93E+01,0.08988,66,0.00009,0.009
3.99E+01,0.08607,67,0.00005,0.005
4.05E+01,0.0851,68,0.00013,0.013
4.11E+01,0.08256,69,0.00005,0.005
4.17E+01,0.08093,70,0.00009,0.009
4.23E+01,0.08053,71,0.0001,0.01
4.29E+01,0.07571,72,0.00007,0.007
4.35E+01,0.07462,73,0.00006,0.006
4.41E+01,0.07182,74,0.0001,0.01
4.47E+01,0.07111,75,0.00015,0.015
4.53E+01,0.06711,76,0.00007,0.007
4.59E+01,0.06753,77,0.00007,0.007
4.65E+01,0.06438,78,0.00005,0.005
4.71E+01,0.06409,79,0.00007,0.007
4.77E+01,0.06134,80,0.00009,0.009
4.83E+01,0.05854,81,0.00011,0.011
4.89E+01,0.05838,82,0.00011,0.011
4.95E+01,0.05628,83,0.00016,0.016
5.01E+01,0.05499,84,0.00006,0.006
5.07E+01,0.0555,85,0.00005,0.005
5.13E+01,0.05364,86,0.00009,0.009
5.19E+01,0.0516,87,0.0001,0.01
5.25E+01,0.05162,88,0.00011,0.011
5.31E+01,0.05046,89,0.00006,0.006
5.37E+01,0.04833,90,0.00011,0.011
5.43E+01,0.04717,91,0.00016,0.016
5.49E+01,0.04603,92,0.00008,0.008
5.55E+01,0.04461,93,0.00008,0.008
5.61E+01,0.04397,94,0.00017,0.017
5.67E+01,0.04309,95,0.0001,0.01
5.73E+01,0.04324,96,0.00018,0.018
5.79E+01,0.04223,97,0.00015,0.015
5.85E+01,0.04185,98,0.00009,0.009
5.91E+01,0.04128,99,0.00006,0.006
5.97E+01,0.03938,100,0.00006,0.006
6.03E+01,0.03891,101,0.00011,0.011
6.09E+01,0.03891,102,0.00012,0.012
6.15E+01,0.03796,103,0.00014,0.014
6.21E+01,0.03703,104,0.00019,0.019
6.27E+01,0.03576,105,0.0001,0.01
6.33E+01,0.03676,106,0.00014,0.014
6.39E+01,0.0341,107,0.00006,0.006
6.45E+01,0.0342,108,0.00016,0.016
6.51E+01,0.03421,109,0.00013,0.013
6.57E+01,0.03327,110,0.00009,0.009
6.63E+01,0.03241,111,0.00014,0.014
6.69E+01,0.03178,112,0.00012,0.012
6.75E+01,0.03224,113,0.00015,0.015
6.81E+01,0.03118,114,0.00016,0.016
6.87E+01,0.02993,115,0.00013,0.013
6.93E+01,0.03034,116,0.00013,0.013
6.99E+01,0.0294,117,0.00017,0.017
7.05E+01,0.02866,118,0.00009,0.009
7.11E+01,0.02801,119,0.00008,0.008
7.17E+01,0.02831,120,0.00015,0.015
7.23E+01,0.02812,121,0.00018,0.018
7.29E+01,0.0277,122,0.00013,0.013
7.35E+01,0.02701,123,0.00025,0.025
7.41E+01,0.02747,124,0.00008,0.008
7.47E+01,0.02601,125,0.00011,0.011
7.53E+01,0.02523,126,0.00016,0.016
7.59E+01,0.02522,127,0.0002,0.02
7.65E+01,0.02563,128,0.0002,0.02
7.71E+01,0.02504,129,0.00019,0.019
7.77E+01,0.02445,130,0.00016,0.016
7.83E+01,0.0243,131,0.00012,0.012
7.89E+01,0.0242,132,0.00021,0.021
7.95E+01,0.0229,133,0.00022,0.022
8.01E+01,0.0239,134,0.00017,0.017
8.07E+01,0.02411,135,0.00019,0.019
8.13E+01,0.02136,136,0.00019,0.019
8.19E+01,0.02225,137,0.00019,0.019
8.25E+01,0.02266,138,0.00024,0.024
8.31E+01,0.02274,139,0.00015,0.015
8.37E+01,0.0213,140,0.00017,0.017
8.43E+01,0.02141,141,0.00014,0.014
8.49E+01,0.02161,142,0.00023,0.023
8.55E+01,0.01977,143,0.00023,0.023
8.61E+01,0.02024,144,0.00022,0.022
8.67E+01,0.02051,145,0.00022,0.022
8.73E+01,0.01996,146,0.00022,0.022
8.79E+01,0.01941,147,0.00028,0.028
8.85E+01,0.01995,148,0.00028,0.028
8.91E+01,0.01939,149,0.00035,0.035
8.97E+01,0.01935,150,0.00043,0.043
9.03E+01,0.0193,151,0.00068,0.068
9.09E+01,0.01857,152,0.0007,0.07
9.15E+01,0.01893,153,0.00067,0.067
9.21E+01,0.01878,154,0.0006,0.06
9.27E+01,0.0185,155,0.00074,0.074
9.33E+01,0.01871,156,0.00053,0.053
9.39E+01,0.01767,157,0.00072,0.072
9.45E+01,0.01805,158,0.00073,0.073
9.51E+01,0.01768,159,0.00065,0.065
9.57E+01,0.01757,160,0.00068,0.068
9.63E+01,0.01802,161,0.00062,0.062
9.69E+01,0.01777,162,0.00063,0.063
9.75E+01,0.01742,163,0.00069,0.069
9.81E+01,0.01741,164,0.00058,0.058
9.87E+01,0.01666,165,0.00067,0.067
9.93E+01,0.01723,166,0.00061,0.061
9.99E+01,0.01692,167,0.00078,0.078
1.01E+02,0.01664,168,0.00073,0.073
1.01E+02,0.01608,169,0.00068,0.068
1.02E+02,0.01639,170,0.00064,0.064
1.02E+02,0.01611,171,0.00074,0.074
1.03E+02,0.01558,172,0.0009,0.09
1.04E+02,0.01655,173,0.00095,0.095
1.04E+02,0.01582,174,0.00086,0.086
1.05E+02,0.01572,175,0.00102,0.102
1.05E+02,0.01582,176,0.0008,0.08
1.06E+02,0.01506,177,0.00082,0.082
1.07E+02,0.01497,178,0.00096,0.096
1.07E+02,0.01516,179,0.00067,0.067
1.08E+02,0.01426,180,0.00079,0.079
1.08E+02,0.01501,181,0.00087,0.087
1.09E+02,0.0152,182,0.00074,0.074
1.10E+02,0.01542,183,0.00092,0.092
1.10E+02,0.01505,184,0.00089,0.089
1.11E+02,0.01515,185,0.00088,0.088
1.11E+02,0.01485,186,0.00104,0.104
1.12E+02,0.01476,187,0.00081,0.081
1.13E+02,0.01424,188,0.00108,0.108
1.13E+02,0.01455,189,0.00113,0.113
1.14E+02,0.01504,190,0.001,0.1
1.14E+02,0.01439,191,0.00105,0.105
1.15E+02,0.01446,192,0.00099,0.099
1.16E+02,0.01448,193,0.00112,0.112
1.16E+02,0.014,194,0.00087,0.087
1.17E+02,0.01343,195,0.0011,0.11
1.17E+02,0.01398,196,0.00117,0.117
