Energy/keV,SE
1.00E+00,928404
2.00E+00,433483
3.00E+00,224539
4.00E+00,173327
5.00E+00,151465
6.00E+00,137348
7.00E+00,127523
8.00E+00,115201
9.00E+00,105432
1.00E+01,94698
1.10E+01,86637
1.20E+01,78939
1.30E+01,73472
1.40E+01,67778
1.50E+01,64142
1.60E+01,60136
1.70E+01,56058
1.80E+01,51819
1.90E+01,48782
2.00E+01,45935
2.10E+01,42520
2.20E+01,40555
2.30E+01,38531
2.40E+01,36261
2.50E+01,34871
2.60E+01,32838
2.70E+01,31111
2.80E+01,29750
2.90E+01,27946
3.00E+01,26572
3.10E+01,24983
3.20E+01,23208
3.30E+01,21544
3.40E+01,19836
3.50E+01,17872
3.60E+01,15281
3.70E+01,11802
3.80E+01,7635
3.90E+01,3210
4.00E+01,482
4.10E+01,6
4.20E+01,9
4.30E+01,8
4.40E+01,10
4.50E+01,7
4.60E+01,4
4.70E+01,4
4.80E+01,5
4.90E+01,3
5.00E+01,6
5.10E+01,1
5.20E+01,3
5.30E+01,4
5.40E+01,3
5.50E+01,2
5.60E+01,4
5.70E+01,3
5.80E+01,4
5.90E+01,0
6.00E+01,2
6.10E+01,1
6.20E+01,3
6.30E+01,2
6.40E+01,2
6.50E+01,3
6.60E+01,2
6.70E+01,0
6.80E+01,0
6.90E+01,0
7.00E+01,0
7.10E+01,1
7.20E+01,0
7.30E+01,1
7.40E+01,0
7.50E+01,1
7.60E+01,0
7.70E+01,0
7.80E+01,0
7.90E+01,0
8.00E+01,0
