T/s,I_se/nA,Type
0.107984672,0.0046638,$\mathit{I}_\mathrm{EBIC}$
3.3237666,0.0945207,$\mathit{I}_\mathrm{EBIC}$
4.63402723,0.526132,$\mathit{I}_\mathrm{EBIC}$
7.3478799,0.752547,$\mathit{I}_\mathrm{EBIC}$
8.35802763,0.879183,$\mathit{I}_\mathrm{EBIC}$
9.36831791,1.31331,$\mathit{I}_\mathrm{EBIC}$
10.5119755,1.30567,$\mathit{I}_\mathrm{EBIC}$
10.7120318,1.49128,$\mathit{I}_\mathrm{EBIC}$
10.9145423,1.57529,$\mathit{I}_\mathrm{EBIC}$
11.1145981,1.66688,$\mathit{I}_\mathrm{EBIC}$
11.3177534,1.90595,$\mathit{I}_\mathrm{EBIC}$
11.5178184,2.16197,$\mathit{I}_\mathrm{EBIC}$
11.7178583,2.6471,$\mathit{I}_\mathrm{EBIC}$
11.9182578,3.03359,$\mathit{I}_\mathrm{EBIC}$
12.1182947,3.33447,$\mathit{I}_\mathrm{EBIC}$
12.3187232,3.81073,$\mathit{I}_\mathrm{EBIC}$
12.5188094,4.2037,$\mathit{I}_\mathrm{EBIC}$
12.7188532,4.56686,$\mathit{I}_\mathrm{EBIC}$
12.9188729,4.99654,$\mathit{I}_\mathrm{EBIC}$
13.1189197,5.29653,$\mathit{I}_\mathrm{EBIC}$
13.3189543,5.81187,$\mathit{I}_\mathrm{EBIC}$
13.5190543,6.32055,$\mathit{I}_\mathrm{EBIC}$
13.7190391,6.96394,$\mathit{I}_\mathrm{EBIC}$
13.9193006,7.59132,$\mathit{I}_\mathrm{EBIC}$
14.1191474,8.38546,$\mathit{I}_\mathrm{EBIC}$
14.3192052,9.12913,$\mathit{I}_\mathrm{EBIC}$
14.5192455,11.6092,$\mathit{I}_\mathrm{EBIC}$
14.7793149,12.1501,$\mathit{I}_\mathrm{EBIC}$
14.8993131,12.3533,$\mathit{I}_\mathrm{EBIC}$
15.0193637,12.4245,$\mathit{I}_\mathrm{EBIC}$
15.1394474,12.4937,$\mathit{I}_\mathrm{EBIC}$
15.2594832,12.4991,$\mathit{I}_\mathrm{EBIC}$
15.3794441,12.5387,$\mathit{I}_\mathrm{EBIC}$
15.4995374,12.5711,$\mathit{I}_\mathrm{EBIC}$
15.6194975,12.5995,$\mathit{I}_\mathrm{EBIC}$
15.7395079,12.5793,$\mathit{I}_\mathrm{EBIC}$
15.859544,12.5974,$\mathit{I}_\mathrm{EBIC}$
15.9795662,12.572,$\mathit{I}_\mathrm{EBIC}$
16.0996351,12.5491,$\mathit{I}_\mathrm{EBIC}$
16.2196431,12.5321,$\mathit{I}_\mathrm{EBIC}$
16.3396656,12.498,$\mathit{I}_\mathrm{EBIC}$
16.4597037,12.4408,$\mathit{I}_\mathrm{EBIC}$
16.5797194,12.4139,$\mathit{I}_\mathrm{EBIC}$
16.6997434,12.3927,$\mathit{I}_\mathrm{EBIC}$
16.8197511,12.3694,$\mathit{I}_\mathrm{EBIC}$
16.9398036,12.3144,$\mathit{I}_\mathrm{EBIC}$
17.0598242,12.2587,$\mathit{I}_\mathrm{EBIC}$
17.1798387,12.2773,$\mathit{I}_\mathrm{EBIC}$
17.2999103,12.2467,$\mathit{I}_\mathrm{EBIC}$
17.4199529,12.2303,$\mathit{I}_\mathrm{EBIC}$
17.5399716,12.1798,$\mathit{I}_\mathrm{EBIC}$
17.659993,12.166,$\mathit{I}_\mathrm{EBIC}$
17.7800189,12.174,$\mathit{I}_\mathrm{EBIC}$
17.9000053,12.1984,$\mathit{I}_\mathrm{EBIC}$
18.0200328,12.2188,$\mathit{I}_\mathrm{EBIC}$
18.1401146,12.2224,$\mathit{I}_\mathrm{EBIC}$
18.2601257,12.2351,$\mathit{I}_\mathrm{EBIC}$
18.3801402,12.2416,$\mathit{I}_\mathrm{EBIC}$
18.5001566,12.2443,$\mathit{I}_\mathrm{EBIC}$
18.6201947,12.325,$\mathit{I}_\mathrm{EBIC}$
18.7402267,12.4227,$\mathit{I}_\mathrm{EBIC}$
18.8602257,12.5389,$\mathit{I}_\mathrm{EBIC}$
18.9802634,12.6065,$\mathit{I}_\mathrm{EBIC}$
19.1003273,12.6022,$\mathit{I}_\mathrm{EBIC}$
19.2203745,12.6448,$\mathit{I}_\mathrm{EBIC}$
19.3403864,12.5602,$\mathit{I}_\mathrm{EBIC}$
19.4603728,11.7943,$\mathit{I}_\mathrm{EBIC}$
19.5803957,11.2501,$\mathit{I}_\mathrm{EBIC}$
19.7004353,10.8852,$\mathit{I}_\mathrm{EBIC}$
19.8204559,10.353,$\mathit{I}_\mathrm{EBIC}$
19.9405027,8.98936,$\mathit{I}_\mathrm{EBIC}$
20.2005889,7.36915,$\mathit{I}_\mathrm{EBIC}$
20.4005927,6.60607,$\mathit{I}_\mathrm{EBIC}$
20.6006599,5.74645,$\mathit{I}_\mathrm{EBIC}$
20.8007025,5.18182,$\mathit{I}_\mathrm{EBIC}$
21.0007519,4.29772,$\mathit{I}_\mathrm{EBIC}$
21.200793,3.76312,$\mathit{I}_\mathrm{EBIC}$
21.4008223,3.35414,$\mathit{I}_\mathrm{EBIC}$
21.6008781,2.88193,$\mathit{I}_\mathrm{EBIC}$
21.8009432,2.49247,$\mathit{I}_\mathrm{EBIC}$
22.000966,2.13654,$\mathit{I}_\mathrm{EBIC}$
22.2010218,1.87541,$\mathit{I}_\mathrm{EBIC}$
22.4010477,1.77292,$\mathit{I}_\mathrm{EBIC}$
22.6011032,1.55791,$\mathit{I}_\mathrm{EBIC}$
22.8011465,1.24511,$\mathit{I}_\mathrm{EBIC}$
23.0012191,0.754694,$\mathit{I}_\mathrm{EBIC}$
24.6015765,0.52968,$\mathit{I}_\mathrm{EBIC}$
25.611869,0.254251,$\mathit{I}_\mathrm{EBIC}$
26.6220248,0.0658088,$\mathit{I}_\mathrm{EBIC}$
29.3326982,0.0244633,$\mathit{I}_\mathrm{EBIC}$
30.6430235,0.0056775,$\mathit{I}_\mathrm{EBIC}$
0.216666667,0.0196579,$\mathit{I}_\mathrm{PE}$
0.233333333,0.0207386,$\mathit{I}_\mathrm{PE}$
0.25,0.0220297,$\mathit{I}_\mathrm{PE}$
0.266666667,0.0239398,$\mathit{I}_\mathrm{PE}$
0.283333333,0.0240351,$\mathit{I}_\mathrm{PE}$
0.3,0.0256744,$\mathit{I}_\mathrm{PE}$
0.316666667,0.0272293,$\mathit{I}_\mathrm{PE}$
0.333333333,0.0278745,$\mathit{I}_\mathrm{PE}$
0.35,0.0287155,$\mathit{I}_\mathrm{PE}$
0.366666667,0.0309135,$\mathit{I}_\mathrm{PE}$
0.383333333,0.0320231,$\mathit{I}_\mathrm{PE}$
0.4,0.0331873,$\mathit{I}_\mathrm{PE}$
0.416666667,0.0341839,$\mathit{I}_\mathrm{PE}$
0.433333333,0.0344418,$\mathit{I}_\mathrm{PE}$
0.45,0.0370004,$\mathit{I}_\mathrm{PE}$
0.466666667,0.0368112,$\mathit{I}_\mathrm{PE}$
0.483333333,0.038851,$\mathit{I}_\mathrm{PE}$
0.5,0.0396018,$\mathit{I}_\mathrm{PE}$
0.516666667,0.0402641,$\mathit{I}_\mathrm{PE}$
0.533333333,0.0431883,$\mathit{I}_\mathrm{PE}$
0.55,0.0428736,$\mathit{I}_\mathrm{PE}$
0.566666667,0.0442726,$\mathit{I}_\mathrm{PE}$
0.583333333,0.0454471,$\mathit{I}_\mathrm{PE}$
0.6,0.0480462,$\mathit{I}_\mathrm{PE}$
0.616666667,0.0486128,$\mathit{I}_\mathrm{PE}$
0.633333333,0.0505344,$\mathit{I}_\mathrm{PE}$
0.65,0.051507,$\mathit{I}_\mathrm{PE}$
0.666666667,0.0521392,$\mathit{I}_\mathrm{PE}$
0.683333333,0.0523592,$\mathit{I}_\mathrm{PE}$
0.7,0.0549156,$\mathit{I}_\mathrm{PE}$
0.716666667,0.0558052,$\mathit{I}_\mathrm{PE}$
0.733333333,0.0579536,$\mathit{I}_\mathrm{PE}$
0.75,0.0585781,$\mathit{I}_\mathrm{PE}$
0.766666667,0.0577745,$\mathit{I}_\mathrm{PE}$
0.783333333,0.0608742,$\mathit{I}_\mathrm{PE}$
0.8,0.0606281,$\mathit{I}_\mathrm{PE}$
0.816666667,0.0634358,$\mathit{I}_\mathrm{PE}$
0.833333333,0.0624248,$\mathit{I}_\mathrm{PE}$
0.85,0.0653612,$\mathit{I}_\mathrm{PE}$
0.866666667,0.0678304,$\mathit{I}_\mathrm{PE}$
0.883333333,0.0678679,$\mathit{I}_\mathrm{PE}$
0.9,0.0702117,$\mathit{I}_\mathrm{PE}$
0.916666667,0.0712121,$\mathit{I}_\mathrm{PE}$
0.933333333,0.0699059,$\mathit{I}_\mathrm{PE}$
0.95,0.0733284,$\mathit{I}_\mathrm{PE}$
0.966666667,0.0744726,$\mathit{I}_\mathrm{PE}$
0.983333333,0.0754613,$\mathit{I}_\mathrm{PE}$
1,0.076971,$\mathit{I}_\mathrm{PE}$
1.016666667,0.0769856,$\mathit{I}_\mathrm{PE}$
1.033333333,0.0803844,$\mathit{I}_\mathrm{PE}$
1.05,0.0794397,$\mathit{I}_\mathrm{PE}$
1.066666667,0.0819618,$\mathit{I}_\mathrm{PE}$
1.083333333,0.0824594,$\mathit{I}_\mathrm{PE}$
1.1,0.0821161,$\mathit{I}_\mathrm{PE}$
1.116666667,0.0843301,$\mathit{I}_\mathrm{PE}$
1.133333333,0.0867031,$\mathit{I}_\mathrm{PE}$
1.15,0.0885917,$\mathit{I}_\mathrm{PE}$
1.166666667,0.0885236,$\mathit{I}_\mathrm{PE}$
1.183333333,0.0889717,$\mathit{I}_\mathrm{PE}$
1.2,0.0913484,$\mathit{I}_\mathrm{PE}$
1.216666667,0.0909602,$\mathit{I}_\mathrm{PE}$
1.233333333,0.0906859,$\mathit{I}_\mathrm{PE}$
1.25,0.0932445,$\mathit{I}_\mathrm{PE}$
1.266666667,0.0968988,$\mathit{I}_\mathrm{PE}$
1.283333333,0.0954187,$\mathit{I}_\mathrm{PE}$
1.3,0.0977081,$\mathit{I}_\mathrm{PE}$
1.316666667,0.101079,$\mathit{I}_\mathrm{PE}$
1.333333333,0.100631,$\mathit{I}_\mathrm{PE}$
1.35,0.10039,$\mathit{I}_\mathrm{PE}$
1.366666667,0.10324,$\mathit{I}_\mathrm{PE}$
1.383333333,0.101391,$\mathit{I}_\mathrm{PE}$
1.4,0.107301,$\mathit{I}_\mathrm{PE}$
1.416666667,0.104954,$\mathit{I}_\mathrm{PE}$
1.433333333,0.104537,$\mathit{I}_\mathrm{PE}$
1.45,0.108197,$\mathit{I}_\mathrm{PE}$
1.466666667,0.112093,$\mathit{I}_\mathrm{PE}$
1.483333333,0.109651,$\mathit{I}_\mathrm{PE}$
1.5,0.114503,$\mathit{I}_\mathrm{PE}$
1.516666667,0.114537,$\mathit{I}_\mathrm{PE}$
1.533333333,0.116082,$\mathit{I}_\mathrm{PE}$
1.55,0.118236,$\mathit{I}_\mathrm{PE}$
1.566666667,0.115536,$\mathit{I}_\mathrm{PE}$
1.583333333,0.117546,$\mathit{I}_\mathrm{PE}$
1.6,0.119656,$\mathit{I}_\mathrm{PE}$
1.616666667,0.117571,$\mathit{I}_\mathrm{PE}$
1.633333333,0.119986,$\mathit{I}_\mathrm{PE}$
1.65,0.121044,$\mathit{I}_\mathrm{PE}$
1.666666667,0.123738,$\mathit{I}_\mathrm{PE}$
1.683333333,0.125195,$\mathit{I}_\mathrm{PE}$
1.7,0.125693,$\mathit{I}_\mathrm{PE}$
1.716666667,0.127023,$\mathit{I}_\mathrm{PE}$
1.733333333,0.126103,$\mathit{I}_\mathrm{PE}$
1.75,0.127752,$\mathit{I}_\mathrm{PE}$
1.766666667,0.127714,$\mathit{I}_\mathrm{PE}$
1.783333333,0.134884,$\mathit{I}_\mathrm{PE}$
1.8,0.130364,$\mathit{I}_\mathrm{PE}$
1.816666667,0.137989,$\mathit{I}_\mathrm{PE}$
1.833333333,0.135795,$\mathit{I}_\mathrm{PE}$
1.85,0.135524,$\mathit{I}_\mathrm{PE}$
1.866666667,0.134895,$\mathit{I}_\mathrm{PE}$
1.883333333,0.137192,$\mathit{I}_\mathrm{PE}$
1.9,0.141762,$\mathit{I}_\mathrm{PE}$
1.916666667,0.142162,$\mathit{I}_\mathrm{PE}$
1.933333333,0.139941,$\mathit{I}_\mathrm{PE}$
1.95,0.146142,$\mathit{I}_\mathrm{PE}$
1.966666667,0.144466,$\mathit{I}_\mathrm{PE}$
1.983333333,0.146828,$\mathit{I}_\mathrm{PE}$
2,0.145544,$\mathit{I}_\mathrm{PE}$
2.016666667,0.145366,$\mathit{I}_\mathrm{PE}$
2.033333333,0.152029,$\mathit{I}_\mathrm{PE}$
2.05,0.150542,$\mathit{I}_\mathrm{PE}$
2.066666667,0.154299,$\mathit{I}_\mathrm{PE}$
2.083333333,0.156951,$\mathit{I}_\mathrm{PE}$
2.1,0.156575,$\mathit{I}_\mathrm{PE}$
2.116666667,0.156557,$\mathit{I}_\mathrm{PE}$
2.133333333,0.154144,$\mathit{I}_\mathrm{PE}$
2.15,0.158102,$\mathit{I}_\mathrm{PE}$
2.166666667,0.16214,$\mathit{I}_\mathrm{PE}$
2.183333333,0.157354,$\mathit{I}_\mathrm{PE}$
2.2,0.16251,$\mathit{I}_\mathrm{PE}$
2.216666667,0.16122,$\mathit{I}_\mathrm{PE}$
2.233333333,0.16687,$\mathit{I}_\mathrm{PE}$
2.25,0.169491,$\mathit{I}_\mathrm{PE}$
2.266666667,0.163685,$\mathit{I}_\mathrm{PE}$
2.283333333,0.169884,$\mathit{I}_\mathrm{PE}$
2.3,0.170508,$\mathit{I}_\mathrm{PE}$
2.316666667,0.166673,$\mathit{I}_\mathrm{PE}$
2.333333333,0.17201,$\mathit{I}_\mathrm{PE}$
2.35,0.175727,$\mathit{I}_\mathrm{PE}$
2.366666667,0.17296,$\mathit{I}_\mathrm{PE}$
2.383333333,0.179602,$\mathit{I}_\mathrm{PE}$
2.4,0.178784,$\mathit{I}_\mathrm{PE}$
2.416666667,0.175016,$\mathit{I}_\mathrm{PE}$
2.433333333,0.175773,$\mathit{I}_\mathrm{PE}$
2.45,0.18046,$\mathit{I}_\mathrm{PE}$
2.466666667,0.185171,$\mathit{I}_\mathrm{PE}$
2.483333333,0.184698,$\mathit{I}_\mathrm{PE}$
2.5,0.181031,$\mathit{I}_\mathrm{PE}$
2.516666667,0.186251,$\mathit{I}_\mathrm{PE}$
2.533333333,0.183616,$\mathit{I}_\mathrm{PE}$
2.55,0.189872,$\mathit{I}_\mathrm{PE}$
2.566666667,0.188046,$\mathit{I}_\mathrm{PE}$
2.583333333,0.192801,$\mathit{I}_\mathrm{PE}$
2.6,0.187128,$\mathit{I}_\mathrm{PE}$
2.616666667,0.192748,$\mathit{I}_\mathrm{PE}$
2.633333333,0.189753,$\mathit{I}_\mathrm{PE}$
2.65,0.196964,$\mathit{I}_\mathrm{PE}$
2.666666667,0.199444,$\mathit{I}_\mathrm{PE}$
2.683333333,0.192382,$\mathit{I}_\mathrm{PE}$
2.7,0.195432,$\mathit{I}_\mathrm{PE}$
2.716666667,0.202626,$\mathit{I}_\mathrm{PE}$
2.733333333,0.202642,$\mathit{I}_\mathrm{PE}$
2.75,0.19722,$\mathit{I}_\mathrm{PE}$
2.766666667,0.20484,$\mathit{I}_\mathrm{PE}$
2.783333333,0.201283,$\mathit{I}_\mathrm{PE}$
2.8,0.206017,$\mathit{I}_\mathrm{PE}$
2.816666667,0.201999,$\mathit{I}_\mathrm{PE}$
2.833333333,0.203193,$\mathit{I}_\mathrm{PE}$
2.85,0.209114,$\mathit{I}_\mathrm{PE}$
2.866666667,0.205808,$\mathit{I}_\mathrm{PE}$
2.883333333,0.20829,$\mathit{I}_\mathrm{PE}$
2.9,0.214723,$\mathit{I}_\mathrm{PE}$
2.916666667,0.214757,$\mathit{I}_\mathrm{PE}$
2.933333333,0.218934,$\mathit{I}_\mathrm{PE}$
2.95,0.218357,$\mathit{I}_\mathrm{PE}$
2.966666667,0.218863,$\mathit{I}_\mathrm{PE}$
2.983333333,0.215084,$\mathit{I}_\mathrm{PE}$
3,0.214911,$\mathit{I}_\mathrm{PE}$
3.016666667,0.223096,$\mathit{I}_\mathrm{PE}$
3.033333333,0.223416,$\mathit{I}_\mathrm{PE}$
3.05,0.220217,$\mathit{I}_\mathrm{PE}$
3.066666667,0.220151,$\mathit{I}_\mathrm{PE}$
3.083333333,0.221361,$\mathit{I}_\mathrm{PE}$
3.1,0.225125,$\mathit{I}_\mathrm{PE}$
3.116666667,0.226986,$\mathit{I}_\mathrm{PE}$
3.133333333,0.228882,$\mathit{I}_\mathrm{PE}$
3.15,0.229783,$\mathit{I}_\mathrm{PE}$
3.166666667,0.227326,$\mathit{I}_\mathrm{PE}$
3.183333333,0.226906,$\mathit{I}_\mathrm{PE}$
3.2,0.231456,$\mathit{I}_\mathrm{PE}$
3.216666667,0.240961,$\mathit{I}_\mathrm{PE}$
3.233333333,0.23639,$\mathit{I}_\mathrm{PE}$
3.25,0.237517,$\mathit{I}_\mathrm{PE}$
3.266666667,0.242108,$\mathit{I}_\mathrm{PE}$
3.283333333,0.237932,$\mathit{I}_\mathrm{PE}$
3.3,0.246114,$\mathit{I}_\mathrm{PE}$
3.316666667,0.244562,$\mathit{I}_\mathrm{PE}$
3.333333333,0.254876,$\mathit{I}_\mathrm{PE}$
3.35,0.26754,$\mathit{I}_\mathrm{PE}$
3.366666667,0.284805,$\mathit{I}_\mathrm{PE}$
3.383333333,0.289279,$\mathit{I}_\mathrm{PE}$
3.4,0.306367,$\mathit{I}_\mathrm{PE}$
3.416666667,0.323791,$\mathit{I}_\mathrm{PE}$
3.433333333,0.330484,$\mathit{I}_\mathrm{PE}$
3.45,0.347449,$\mathit{I}_\mathrm{PE}$
3.466666667,0.371558,$\mathit{I}_\mathrm{PE}$
3.483333333,0.379731,$\mathit{I}_\mathrm{PE}$
3.5,0.401988,$\mathit{I}_\mathrm{PE}$
3.516666667,0.411126,$\mathit{I}_\mathrm{PE}$
3.533333333,0.41488,$\mathit{I}_\mathrm{PE}$
3.55,0.439271,$\mathit{I}_\mathrm{PE}$
3.566666667,0.455036,$\mathit{I}_\mathrm{PE}$
3.583333333,0.455487,$\mathit{I}_\mathrm{PE}$
3.6,0.486736,$\mathit{I}_\mathrm{PE}$
3.616666667,0.487723,$\mathit{I}_\mathrm{PE}$
3.633333333,0.51321,$\mathit{I}_\mathrm{PE}$
3.65,0.527226,$\mathit{I}_\mathrm{PE}$
3.666666667,0.533507,$\mathit{I}_\mathrm{PE}$
3.683333333,0.558199,$\mathit{I}_\mathrm{PE}$
3.7,0.56335,$\mathit{I}_\mathrm{PE}$
3.716666667,0.576954,$\mathit{I}_\mathrm{PE}$
3.733333333,0.590646,$\mathit{I}_\mathrm{PE}$
3.75,0.597024,$\mathit{I}_\mathrm{PE}$
3.766666667,0.614904,$\mathit{I}_\mathrm{PE}$
3.783333333,0.641844,$\mathit{I}_\mathrm{PE}$
3.8,0.634775,$\mathit{I}_\mathrm{PE}$
3.816666667,0.656507,$\mathit{I}_\mathrm{PE}$
3.833333333,0.677334,$\mathit{I}_\mathrm{PE}$
3.85,0.678616,$\mathit{I}_\mathrm{PE}$
3.866666667,0.695213,$\mathit{I}_\mathrm{PE}$
3.883333333,0.714685,$\mathit{I}_\mathrm{PE}$
3.9,0.739324,$\mathit{I}_\mathrm{PE}$
3.916666667,0.728497,$\mathit{I}_\mathrm{PE}$
3.933333333,0.761348,$\mathit{I}_\mathrm{PE}$
3.95,0.782075,$\mathit{I}_\mathrm{PE}$
3.966666667,0.789154,$\mathit{I}_\mathrm{PE}$
3.983333333,0.819603,$\mathit{I}_\mathrm{PE}$
4,0.82001,$\mathit{I}_\mathrm{PE}$
4.016666667,0.836948,$\mathit{I}_\mathrm{PE}$
4.033333333,0.830526,$\mathit{I}_\mathrm{PE}$
4.05,0.868238,$\mathit{I}_\mathrm{PE}$
4.066666667,0.880437,$\mathit{I}_\mathrm{PE}$
4.083333333,0.871432,$\mathit{I}_\mathrm{PE}$
4.1,0.899925,$\mathit{I}_\mathrm{PE}$
4.116666667,0.89905,$\mathit{I}_\mathrm{PE}$
4.133333333,0.918322,$\mathit{I}_\mathrm{PE}$
4.15,0.939541,$\mathit{I}_\mathrm{PE}$
4.166666667,0.9673,$\mathit{I}_\mathrm{PE}$
4.183333333,0.987897,$\mathit{I}_\mathrm{PE}$
4.2,0.998149,$\mathit{I}_\mathrm{PE}$
4.216666667,0.987197,$\mathit{I}_\mathrm{PE}$
4.233333333,1.00352,$\mathit{I}_\mathrm{PE}$
4.25,1.02774,$\mathit{I}_\mathrm{PE}$
