Current Density,Stage,TEM Mode,Material
413.2231405,Synthesis,STEM,Au
413.2231405,Synthesis,STEM,Au
413.2231405,Synthesis,STEM,Au
413.2231405,Synthesis,STEM,Au
4081.632653,Synthesis,STEM,Au
1652.892562,Synthesis,STEM,Au
1652.892562,Synthesis,STEM,Au
1652.892562,Synthesis,STEM,Au
1652.892562,Synthesis,STEM,Au
1652.892562,Synthesis,STEM,Au
1664.932362,Synthesis,STEM,WO
6608.468091,Synthesis,STEM,WO
4793.38843,Synthesis,STEM,WO
3305.785124,Synthesis,STEM,WO
6608.468091,Synthesis,STEM,WO
6608.468091,Synthesis,STEM,WO
6608.468091,Synthesis,STEM,WO
1664.932362,Synthesis,STEM,WO
