X,Y,Edep
0,0,2.48322E-30
0,1,0
0,2,1.25061E-30
0,3,3.77192E-31
0,4,0
0,5,1.6952E-31
0,6,1.73774E-30
0,7,6.53642E-31
0,8,3.43281E-30
0,9,4.98949E-30
0,10,6.63678E-31
0,11,1.29063E-30
0,12,2.92079E-30
0,13,2.05807E-30
0,14,7.57568E-31
0,15,1.03744E-30
0,16,7.53706E-31
0,17,8.3106E-31
0,18,4.50159E-31
0,19,5.65027E-31
0,20,3.10593E-31
0,21,4.59795E-32
0,22,3.82049E-31
0,23,5.40742E-31
0,24,1.30014E-30
0,25,2.05192E-30
0,26,1.44203E-30
0,27,7.44576E-31
0,28,1.2748E-30
0,29,1.81609E-30
0,30,2.18861E-30
0,31,7.94534E-31
0,32,4.53211E-31
0,33,1.12663E-30
0,34,2.23427E-30
0,35,4.92664E-30
0,36,3.35525E-30
0,37,2.13899E-30
0,38,1.09674E-30
0,39,1.45759E-30
0,40,8.26539E-31
0,41,1.47703E-30
0,42,1.77444E-30
0,43,1.27629E-30
0,44,1.12816E-30
0,45,1.89036E-30
0,46,2.74485E-30
0,47,4.12886E-30
0,48,5.60605E-30
0,49,5.33627E-30
0,50,5.69024E-30
0,51,3.46931E-30
0,52,5.46432E-30
0,53,2.7016E-30
0,54,3.6814E-30
0,55,1.82884E-30
0,56,1.98353E-30
0,57,3.13633E-30
0,58,3.70853E-30
0,59,1.70584E-30
0,60,7.59428E-31
0,61,7.27543E-31
0,62,4.67034E-30
0,63,9.92837E-31
0,64,8.79274E-30
0,65,3.08033E-30
0,66,3.85133E-30
0,67,6.74507E-30
0,68,3.55451E-30
0,69,2.92466E-30
0,70,4.17647E-30
0,71,3.59527E-30
0,72,1.53037E-30
0,73,1.85801E-30
0,74,1.35087E-30
0,75,4.7069E-30
0,76,5.96128E-30
0,77,6.08879E-30
0,78,7.13219E-30
0,79,3.1978E-30
0,80,1.41158E-30
0,81,2.0898E-30
0,82,8.27452E-30
0,83,5.40655E-30
0,84,1.20214E-29
0,85,4.69506E-30
0,86,4.17267E-30
0,87,1.0924E-05
0,88,1.80199E-05
0,89,1.27019E-05
0,90,5.44215E-05
0,91,9.76084E-05
0,92,0.000136653
0,93,0.002770281
0,94,0.000492465
0,95,0.000598526
0,96,0.002579848
0,97,0.00520931
0,98,0.013338223
0,99,0.096745949
0,100,0.689832974
0,101,0.012423415
0,102,0.004417513
0,103,0.002450929
0,104,0.000617634
0,105,0.001235957
0,106,0.000231352
0,107,0.000113727
0,108,0.000474896
0,109,4.2977E-06
0,110,1.08492E-05
0,111,5.93676E-06
0,112,8.86906E-06
0,113,1.01491E-06
0,114,7.40204E-30
0,115,1.04356E-29
0,116,1.29363E-29
0,117,4.17445E-30
0,118,2.99791E-29
0,119,2.91021E-29
0,120,9.55082E-30
0,121,1.02477E-29
0,122,1.65732E-29
0,123,8.12133E-30
0,124,6.47535E-30
0,125,9.04949E-30
0,126,1.12631E-29
0,127,2.96651E-30
0,128,3.95881E-30
0,129,1.09132E-29
0,130,3.5788E-30
0,131,1.13296E-29
0,132,3.11123E-30
0,133,5.59173E-30
0,134,1.97422E-30
0,135,1.30137E-30
0,136,6.4316E-31
0,137,1.91855E-30
0,138,2.29325E-30
0,139,2.41863E-30
0,140,2.14347E-30
0,141,2.05627E-30
0,142,5.47368E-30
0,143,1.37423E-30
0,144,6.13698E-30
0,145,7.78179E-30
0,146,2.61833E-30
0,147,1.53364E-30
0,148,2.97253E-30
0,149,2.49976E-30
0,150,2.13738E-30
0,151,1.46871E-30
0,152,1.69145E-30
0,153,2.11937E-30
0,154,1.32874E-30
0,155,5.81292E-31
0,156,2.32324E-30
0,157,1.91006E-30
0,158,6.75363E-31
0,159,7.49898E-31
0,160,7.86735E-31
0,161,5.16915E-31
0,162,7.86047E-31
0,163,2.44407E-30
0,164,2.91393E-30
0,165,1.72945E-30
0,166,1.63924E-30
0,167,1.54485E-30
0,168,1.1296E-30
0,169,2.84435E-30
0,170,6.22225E-31
0,171,1.09537E-30
0,172,1.86587E-30
0,173,8.19079E-30
0,174,1.52319E-30
0,175,1.23605E-30
0,176,2.48383E-30
0,177,1.62044E-30
0,178,1.69025E-30
0,179,3.60128E-29
0,180,7.88618E-31
0,181,1.05019E-30
0,182,2.56911E-30
0,183,3.74274E-30
0,184,1.10847E-30
0,185,1.33902E-30
0,186,1.9335E-30
0,187,1.00698E-30
0,188,6.78942E-31
0,189,4.06054E-31
0,190,1.03067E-30
0,191,5.85655E-30
0,192,1.56306E-29
0,193,2.34433E-30
0,194,2.49435E-30
0,195,3.65419E-30
0,196,1.84444E-30
0,197,4.97349E-31
0,198,1.17855E-30
0,199,8.96115E-31
1,0,2.47708E-30
1,1,8.36337E-31
1,2,1.30506E-30
1,3,6.81327E-31
1,4,5.34739E-31
1,5,1.93648E-31
1,6,7.51053E-32
1,7,2.09626E-30
1,8,1.55108E-31
1,9,3.80177E-31
1,10,4.97363E-30
1,11,2.97264E-30
1,12,6.87439E-31
1,13,3.55143E-30
1,14,2.38385E-30
1,15,4.5994E-31
1,16,1.07115E-30
1,17,1.60462E-30
1,18,8.17011E-31
1,19,4.02332E-31
1,20,2.98232E-31
1,21,3.44442E-31
1,22,1.93477E-31
1,23,3.8065E-31
1,24,3.94732E-31
1,25,1.88904E-30
1,26,9.29678E-31
1,27,1.19289E-30
1,28,6.06054E-31
1,29,9.40349E-31
1,30,1.29269E-30
1,31,2.34271E-30
1,32,1.11795E-30
1,33,5.01568E-31
1,34,9.42965E-31
1,35,1.75873E-30
1,36,1.86559E-30
1,37,3.40851E-30
1,38,3.23641E-30
1,39,2.77702E-30
