section,coordinate_um,X,Y,Z,Edep
"x=0, z=0",-0.5,0,0,100,6.922649765839135e-32
"x=0, z=0",-0.495,0,1,100,1.2490818966734598e-32
"x=0, z=0",-0.49,0,2,100,3.3859714212163627e-32
"x=0, z=0",-0.485,0,3,100,1.2190102062778817e-32
"x=0, z=0",-0.48,0,4,100,2.570938566479074e-32
"x=0, z=0",-0.475,0,5,100,5.329814743787655e-32
"x=0, z=0",-0.47,0,6,100,5.899049791703947e-32
"x=0, z=0",-0.465,0,7,100,4.178830342014056e-32
"x=0, z=0",-0.46,0,8,100,2.6572214860663864e-31
"x=0, z=0",-0.455,0,9,100,1.5118140210348239e-31
"x=0, z=0",-0.45,0,10,100,2.3617274718812688e-32
"x=0, z=0",-0.445,0,11,100,2.3649835889093615e-32
"x=0, z=0",-0.44,0,12,100,5.01761500931928e-32
"x=0, z=0",-0.435,0,13,100,4.2723294079431637e-32
"x=0, z=0",-0.43,0,14,100,3.7510412408198207e-32
"x=0, z=0",-0.425,0,15,100,3.3125136440843086e-32
"x=0, z=0",-0.42,0,16,100,2.5956605235040105e-32
"x=0, z=0",-0.415,0,17,100,6.375354479062476e-32
"x=0, z=0",-0.41,0,18,100,4.208515926066833e-32
"x=0, z=0",-0.405,0,19,100,2.2514279014403463e-32
"x=0, z=0",-0.4,0,20,100,1.5321745096604011e-32
"x=0, z=0",-0.395,0,21,100,5.026181761223735e-31
"x=0, z=0",-0.39,0,22,100,2.888547971403797e-32
"x=0, z=0",-0.385,0,23,100,3.0124407153284354e-32
"x=0, z=0",-0.38,0,24,100,5.274421725510087e-32
"x=0, z=0",-0.375,0,25,100,4.5830544113260416e-32
"x=0, z=0",-0.37,0,26,100,4.133177797106483e-32
"x=0, z=0",-0.365,0,27,100,1.245487901748274e-31
"x=0, z=0",-0.36,0,28,100,4.377735045641949e-32
"x=0, z=0",-0.355,0,29,100,4.0582425011175027e-32
"x=0, z=0",-0.35,0,30,100,3.917982751138129e-32
"x=0, z=0",-0.345,0,31,100,5.072188422796968e-32
"x=0, z=0",-0.34,0,32,100,2.2062576409898454e-32
"x=0, z=0",-0.335,0,33,100,3.723737807452408e-32
"x=0, z=0",-0.33,0,34,100,5.399230252348874e-32
"x=0, z=0",-0.325,0,35,100,9.277828762635652e-32
"x=0, z=0",-0.32,0,36,100,8.738520441000677e-32
"x=0, z=0",-0.315,0,37,100,6.388261860774863e-32
"x=0, z=0",-0.31,0,38,100,2.624389901956929e-32
"x=0, z=0",-0.305,0,39,100,2.752234311880986e-32
"x=0, z=0",-0.3,0,40,100,2.2487195814978866e-32
"x=0, z=0",-0.295,0,41,100,3.104083125486388e-32
"x=0, z=0",-0.29,0,42,100,3.414745404012132e-32
"x=0, z=0",-0.285,0,43,100,4.4414077450611575e-32
"x=0, z=0",-0.28,0,44,100,4.810857153578256e-32
"x=0, z=0",-0.275,0,45,100,3.445200412979082e-32
"x=0, z=0",-0.27,0,46,100,5.67811890602215e-32
"x=0, z=0",-0.265,0,47,100,8.709318535290685e-32
"x=0, z=0",-0.26,0,48,100,1.017188099850418e-31
"x=0, z=0",-0.255,0,49,100,9.485364406605135e-32
"x=0, z=0",-0.25,0,50,100,1.091080769325266e-31
"x=0, z=0",-0.245,0,51,100,8.320201399347906e-32
"x=0, z=0",-0.24,0,52,100,1.1760004686842068e-31
"x=0, z=0",-0.235,0,53,100,5.903440531703302e-32
"x=0, z=0",-0.23,0,54,100,8.781103649565843e-32
"x=0, z=0",-0.225,0,55,100,1.3396119860315755e-31
"x=0, z=0",-0.22,0,56,100,1.1319062880049766e-31
"x=0, z=0",-0.215,0,57,100,6.287205146504011e-32
"x=0, z=0",-0.21,0,58,100,1.2798951342689286e-31
"x=0, z=0",-0.205,0,59,100,5.243951383800281e-32
"x=0, z=0",-0.2,0,60,100,4.046308051633544e-32
"x=0, z=0",-0.195,0,61,100,4.385405598726535e-32
"x=0, z=0",-0.19,0,62,100,9.706448619715482e-32
"x=0, z=0",-0.185,0,63,100,4.058140747460376e-32
"x=0, z=0",-0.18,0,64,100,1.315256620949443e-31
"x=0, z=0",-0.175,0,65,100,6.107589033387564e-32
"x=0, z=0",-0.17,0,66,100,8.120150921663039e-32
"x=0, z=0",-0.165,0,67,100,1.719608927747124e-31
"x=0, z=0",-0.16,0,68,100,9.291279759776533e-32
"x=0, z=0",-0.155,0,69,100,1.986880937879249e-31
"x=0, z=0",-0.15,0,70,100,1.0809960061838919e-31
"x=0, z=0",-0.145,0,71,100,2.0223149066168957e-31
"x=0, z=0",-0.14,0,72,100,7.6512895840177e-32
"x=0, z=0",-0.135,0,73,100,6.724829505296797e-32
"x=0, z=0",-0.13,0,74,100,1.7582432580842995e-31
"x=0, z=0",-0.125,0,75,100,1.9174835498323115e-31
"x=0, z=0",-0.12,0,76,100,1.733524088830792e-31
"x=0, z=0",-0.115,0,77,100,1.9807283263372968e-31
"x=0, z=0",-0.11,0,78,100,3.3042604467712372e-31
"x=0, z=0",-0.105,0,79,100,1.8741490368672552e-31
"x=0, z=0",-0.1,0,80,100,1.5280332752038675e-31
"x=0, z=0",-0.095,0,81,100,4.347794380503495e-31
"x=0, z=0",-0.09,0,82,100,5.332117442987317e-31
"x=0, z=0",-0.085,0,83,100,1.3354819026607543e-31
"x=0, z=0",-0.08,0,84,100,3.4788181486312816e-31
"x=0, z=0",-0.075,0,85,100,2.1090410818612847e-31
"x=0, z=0",-0.07,0,86,100,1.613382291362745e-31
"x=0, z=0",-0.065,0,87,100,1.6641476090695659e-07
"x=0, z=0",-0.06,0,88,100,3.748013721048838e-07
"x=0, z=0",-0.055,0,89,100,2.598016190360807e-07
"x=0, z=0",-0.05,0,90,100,9.097989627804957e-07
"x=0, z=0",-0.045,0,91,100,1.4204545696768302e-06
"x=0, z=0",-0.04,0,92,100,8.524294145603608e-06
"x=0, z=0",-0.035,0,93,100,4.019977550494559e-05
"x=0, z=0",-0.03,0,94,100,1.0089181759087767e-05
"x=0, z=0",-0.025,0,95,100,2.557059646423973e-05
"x=0, z=0",-0.02,0,96,100,4.456924480830304e-05
"x=0, z=0",-0.015,0,97,100,0.0001067749770854
"x=0, z=0",-0.01,0,98,100,0.0002474946675338
"x=0, z=0",-0.005,0,99,100,0.0015216961689487
"x=0, z=0",0.0,0,100,100,0.0192309665512085
"x=0, z=0",0.005,0,101,100,0.0015216961689487
"x=0, z=0",0.01,0,102,100,0.0002474946675338
"x=0, z=0",0.015,0,103,100,0.0001067749770854
"x=0, z=0",0.02,0,104,100,4.456924480830304e-05
"x=0, z=0",0.025,0,105,100,2.557059646423973e-05
