T/s,I_se/nA,Spalte1,I_P/nA,Type
2.00E-01,7.24E-03,3.82E-01,1.90E-02,$\mathit{I}_\mathrm{EBIC}$
2.50E-01,8.64E-03,3.95E-01,2.19E-02,$\mathit{I}_\mathrm{EBIC}$
3.00E-01,1.00E-02,3.80E-01,2.63E-02,$\mathit{I}_\mathrm{EBIC}$
3.50E-01,1.14E-02,3.85E-01,2.96E-02,$\mathit{I}_\mathrm{EBIC}$
4.00E-01,1.28E-02,3.80E-01,3.36E-02,$\mathit{I}_\mathrm{EBIC}$
4.50E-01,1.42E-02,3.99E-01,3.56E-02,$\mathit{I}_\mathrm{EBIC}$
5.00E-01,1.56E-02,3.79E-01,4.12E-02,$\mathit{I}_\mathrm{EBIC}$
5.50E-01,1.70E-02,3.87E-01,4.39E-02,$\mathit{I}_\mathrm{EBIC}$
6.00E-01,1.84E-02,3.81E-01,4.83E-02,$\mathit{I}_\mathrm{EBIC}$
6.50E-01,1.98E-02,3.81E-01,5.19E-02,$\mathit{I}_\mathrm{EBIC}$
7.00E-01,2.12E-02,3.95E-01,5.36E-02,$\mathit{I}_\mathrm{EBIC}$
7.50E-01,2.26E-02,3.81E-01,5.93E-02,$\mathit{I}_\mathrm{EBIC}$
8.00E-01,2.40E-02,3.92E-01,6.12E-02,$\mathit{I}_\mathrm{EBIC}$
8.50E-01,2.54E-02,3.76E-01,6.76E-02,$\mathit{I}_\mathrm{EBIC}$
9.00E-01,2.68E-02,3.98E-01,6.74E-02,$\mathit{I}_\mathrm{EBIC}$
9.50E-01,2.82E-02,3.80E-01,7.42E-02,$\mathit{I}_\mathrm{EBIC}$
1.00E+00,2.96E-02,3.90E-01,7.60E-02,$\mathit{I}_\mathrm{EBIC}$
1.05E+00,3.10E-02,4.04E-01,7.68E-02,$\mathit{I}_\mathrm{EBIC}$
1.10E+00,3.24E-02,3.75E-01,8.63E-02,$\mathit{I}_\mathrm{EBIC}$
1.15E+00,3.38E-02,3.97E-01,8.52E-02,$\mathit{I}_\mathrm{EBIC}$
1.20E+00,3.52E-02,3.77E-01,9.33E-02,$\mathit{I}_\mathrm{EBIC}$
1.25E+00,3.66E-02,3.90E-01,9.39E-02,$\mathit{I}_\mathrm{EBIC}$
1.30E+00,3.80E-02,3.89E-01,9.76E-02,$\mathit{I}_\mathrm{EBIC}$
1.35E+00,3.94E-02,4.03E-01,9.78E-02,$\mathit{I}_\mathrm{EBIC}$
1.40E+00,4.08E-02,3.95E-01,1.03E-01,$\mathit{I}_\mathrm{EBIC}$
1.45E+00,4.22E-02,3.96E-01,1.07E-01,$\mathit{I}_\mathrm{EBIC}$
1.50E+00,4.36E-02,3.87E-01,1.13E-01,$\mathit{I}_\mathrm{EBIC}$
1.55E+00,4.50E-02,3.97E-01,1.13E-01,$\mathit{I}_\mathrm{EBIC}$
1.60E+00,4.64E-02,4.02E-01,1.15E-01,$\mathit{I}_\mathrm{EBIC}$
1.65E+00,4.78E-02,3.79E-01,1.26E-01,$\mathit{I}_\mathrm{EBIC}$
1.70E+00,4.92E-02,3.79E-01,1.30E-01,$\mathit{I}_\mathrm{EBIC}$
1.75E+00,5.06E-02,3.92E-01,1.29E-01,$\mathit{I}_\mathrm{EBIC}$
1.80E+00,5.20E-02,3.93E-01,1.32E-01,$\mathit{I}_\mathrm{EBIC}$
1.85E+00,5.34E-02,3.88E-01,1.38E-01,$\mathit{I}_\mathrm{EBIC}$
1.90E+00,5.48E-02,4.00E-01,1.37E-01,$\mathit{I}_\mathrm{EBIC}$
1.95E+00,5.62E-02,3.77E-01,1.49E-01,$\mathit{I}_\mathrm{EBIC}$
2.00E+00,5.76E-02,3.92E-01,1.47E-01,$\mathit{I}_\mathrm{EBIC}$
